name,numSqFt,initDay,initKc,initN,initP,initK,initFreq,devDay,devKc,devN,devP,devK,devFreq,midDay,midKc,midN,midP,midK,midFreq,lateDay,lateKc,lateN,lateP,lateK,lateFreq
Asparagus,1,50,0.50,3,15,0,1,30,0.50,10,10,10,1,100,0.95,10,10,10,1,50,0.30,0,0,0,0
Beans (Bush),9,20,0.40,5,10,10,1,30,0.40,5,10,10,1,40,1.15,5,10,10,1,20,0.35,5,10,10,1
Beans (Pole),8,20,0.50,5,10,10,1,30,0.50,5,10,10,1,30,1.05,5,10,10,1,10,0.90,5,10,10,1
Beets,9,15,0.50,5,10,10,1,25,0.50,10,10,10,1,20,1.05,0,0,0,0,10,0.95,0,0,0,0
Broccoli,1,35,0.70,5,10,10,1,45,0.70,20,0,0,1,40,1.05,0,0,0,0,15,0.95,0,0,0,0
Brussel Sprouts,1,35,0.70,5,10,10,1,45,0.70,5,10,10,1,40,1.05,5,10,10,1,15,0.95,0,0,0,0
Cabbage,1,40,0.70,5,10,10,1,60,0.70,10,10,10,1,50,1.05,0,0,0,0,15,0.95,0,0,0,0
Carrots,16,30,0.70,5,10,10,1,40,0.70,0,0,0,0,60,1.05,5,10,10,1,20,0.95,0,0,0,0
Celery,4,25,0.70,5,10,10,1,40,0.70,5,10,10,1,45,1.05,5,10,10,1,15,1.00,5,10,10,1
Corn (sweet),1,20,0.30,5,10,10,1,20,0.30,20,0,0,1,30,1.15,0,20,0,1,10,1.05,0,0,0,0
Cucumber,2,20,0.50,10,10,10,1,30,0.50,5,10,10,1,40,1.00,0,0,0,0,15,0.80,0,0,0,0
Eggplant,1,30,0.60,5,10,5,1,40,0.60,0,0,0,0,40,1.05,5,10,5,1,20,0.90,0,0,0,0
Lettuce,4,20,0.70,10,10,10,1,30,0.70,10,10,10,1,15,1.00,0,0,0,0,10,0.95,0,0,0,0
Melon,1,25,0.50,5,5,5,1,35,0.50,5,10,10,1,40,1.05,5,10,10,1,20,0.75,0,0,0,0
Onions (dry),9,15,0.70,10,10,10,1,25,0.70,0,0,0,0,70,1.00,10,10,10,1,40,1.00,10,10,10,1
Onions (green),16,25,0.70,10,10,10,1,30,0.70,10,10,10,1,10,1.05,10,10,10,1,5,1.00,0,0,0,0
Radish,16,5,0.70,0,0,0,0,10,0.70,0,0,0,0,15,0.90,0,0,0,0,5,0.85,0,0,0,0
Peas,8,15,0.50,5,10,10,1,25,0.50,0,0,0,0,35,1.15,5,10,10,1,15,1.10,0,0,0,0
Peppers,1,30,0.60,5,10,10,1,35,0.60,5,10,10,1,40,1.05,5,10,10,1,20,0.90,5,10,10,1
Potato,1,30,0.50,5,10,10,1,35,0.50,5,10,10,1,50,1.15,0,0,0,0,30,0.75,0,0,0,0
Spinach,9,20,0.70,10,10,10,1,20,0.70,0,0,0,0,15,1.00,0,0,0,0,5,0.95,0,0,0,0
Squash (summer),1,25,0.50,5,10,10,1,35,0.50,5,10,10,1,25,0.95,5,10,10,1,15,0.75,0,0,0,0
Squash (winter),1,20,0.50,5,10,10,1,30,0.50,5,10,10,1,30,1.00,5,10,10,1,20,0.80,0,0,0,0
Tomato,1,35,0.60,5,10,10,1,40,0.60,0,0,0,0,50,1.15,5,10,10,1,30,0.90,5,10,10,1
Vegetable (General),5,25,1,6,10,9,1,33,1,6,6,6,1,39,1,4,7,6,1,18,1,1,3,3,0
